X,Y,Player,Type,Weapon,Round
7756,-7081,n0thing#01 10,Death,Ghost,1
4807,-6436,Trashies#6767,Death,Ghost,1
6048,-7088,Noctis#7705,Death,Ghost,1
6461,-4404,Gengar#0960,Death,Ghost,1
5494,-6387,Luggi#IGL,Death,Headhunter,1
2248,-2708,Luggi#IGL,Death,Spectre,2
2162,-8159,n0thing#01 10,Death,Spectre,2
512,-4427,Trashies#6767,Death,Stinger,2
-842,-6775,Gengar#0960,Death,Stinger,2
1366,-7414,Noctis#7705,Death,Ghost,2
12,-5202,Noctis#7705,Death,Spectre,3
-122,-5855,n0thing#01 10,Death,Spectre,3
-2653,-6281,Gengar#0960,Death,Phantom,3
-138,-7975,Luggi#IGL,Death,Vandal,3
6331,-8625,Trashies#6767,Death,Vandal,4
6351,-5218,Luggi#IGL,Death,Phantom,4
7342,-7765,Noctis#7705,Death,Phantom,4
4973,-6965,Gengar#0960,Death,Vandal,4
3904,-5998,n0thing#01 10,Death,Vandal,4
297,-5522,Noctis#7705,Death,Vandal,5
-1950,-5416,Trashies#6767,Death,Vandal,5
-1030,-6420,Gengar#0960,Death,Vandal,5
436,-5746,n0thing#01 10,Death,Vandal,5
-2512,-4182,Luggi#IGL,Death,Vandal,5
2616,-5628,n0thing#01 10,Death,Vandal,6
1674,-2418,Noctis#7705,Death,Phantom,6
-1246,-6685,n0thing#01 10,Death,Vandal,7
-1396,-6398,Luggi#IGL,Death,Vandal,7
-2514,-6478,Gengar#0960,Death,Vandal,7
-664,-6254,Trashies#6767,Death,Guardian,7
-2128,-5142,Noctis#7705,Death,Guardian,7
-45,-5429,Noctis#7705,Death,Vandal,8
-2568,-6138,Gengar#0960,Death,Paint Shells,8
-325,-5872,n0thing#01 10,Death,Vandal,8
160,-5636,Luggi#IGL,Death,Vandal,8
-1450,-7093,Luggi#IGL,Death,Phantom,9
-105,-5464,Gengar#0960,Death,Vandal,9
55,-5717,Noctis#7705,Death,Vandal,9
-1014,-5916,Gengar#0960,Death,Showstopper,11
-2638,-3886,Luggi#IGL,Death,Vandal,11
-452,-7834,Noctis#7705,Death,Operator,11
2754,-5252,n0thing#01 10,Death,Stinger,11
725,-6403,Trashies#6767,Death,Phantom,11
7226,-5942,Luggi#IGL,Death,Vandal,12
3558,-8263,n0thing#01 10,Death,Operator,12
1354,-5172,Trashies#6767,Death,Vandal,12
-394,-5808,Noctis#7705,Death,Ghost,13
7421,-6829,Luggi#IGL,Death,Ghost,13
-53,-7895,Trashies#6767,Death,Classic,13
5213,-4292,n0thing#01 10,Death,Ghost,13
4066,-6152,Gengar#0960,Death,Headhunter,13
2582,-5424,Luggi#IGL,Death,Sheriff,14
1333,-4513,n0thing#01 10,Death,Spectre,14
2253,-5080,Gengar#0960,Death,Spectre,14
3605,-5677,Trashies#6767,Death,Ghost,14
1519,-4735,Noctis#7705,Death,Spectre,14
4310,-5509,n0thing#01 10,Death,Guardian,15
-1831,-5491,Noctis#7705,Death,Vandal,16
1748,-4530,n0thing#01 10,Death,Vandal,16
6803,-6216,Luggi#IGL,Death,Sheriff,17
4343,-5430,n0thing#01 10,Death,Sheriff,17
7950,-7436,Trashies#6767,Death,Vandal,17
7416,-7960,Gengar#0960,Death,Vandal,17
5499,-6660,Noctis#7705,Death,Guardian,17
5573,-8821,n0thing#01 10,Death,Vandal,18
6984,-6669,Gengar#0960,Death,Vandal,18
843,-4713,Trashies#6767,Death,Vandal,18
6014,-8471,Luggi#IGL,Death,Vandal,18
5707,-7061,Noctis#7705,Death,Vandal,18
6516,-2502,n0thing#01 10,Death,Vandal,19
-2184,-5576,Noctis#7705,Death,Sheriff,20
-3417,-6046,Trashies#6767,Death,Vandal,20
2486,-2897,n0thing#01 10,Death,Blade Storm,20
-2515,-5279,Gengar#0960,Death,Vandal,20
-2005,-7010,Luggi#IGL,Death,Tour De Force,20
6005,-5044,Gengar#0960,Death,Vandal,21
6113,-5686,Trashies#6767,Death,Guardian,21
7644,-6146,Luggi#IGL,Death,Guardian,21
5449,-6176,Noctis#7705,Death,Vandal,21
5811,-5733,n0thing#01 10,Death,Vandal,21
