X,Y,Player,Type,Weapon,Round
-3658,-1010,Gengar#0960,Death,Ghost,1
-3758,-1074,Luggi#IGL,Death,Ghost,1
-2993,2724,Gengar#0960,Death,Sheriff,2
5957,-2128,Trashies#6767,Death,Stinger,2
4024,-2088,Luggi#IGL,Death,Stinger,2
247,2120,Noctis#7705,Death,Headhunter,2
4564,-2380,n0thing#01 10,Death,Shorty,2
2851,-1206,Noctis#7705,Death,Vandal,3
5068,-479,Luggi#IGL,Death,Vandal,3
5830,-848,Gengar#0960,Death,Vandal,3
2597,-1107,Trashies#6767,Death,Vandal,3
1461,-1446,n0thing#01 10,Death,Vandal,3
-4332,-1487,Noctis#7705,Death,Vandal,4
-4554,-1083,n0thing#01 10,Death,Outlaw,4
-4285,-1105,Luggi#IGL,Death,Outlaw,4
-4514,-651,Trashies#6767,Death,Vandal,4
-5116,-1557,Gengar#0960,Death,Vandal,4
614,26,Trashies#6767,Death,Vandal,5
2973,-2142,Gengar#0960,Death,Vandal,5
2743,-984,Luggi#IGL,Death,Operator,5
3553,-1769,n0thing#01 10,Death,Headhunter,5
2868,-691,Noctis#7705,Death,Vandal,5
416,1791,Luggi#IGL,Death,Vandal,6
-2842,-2467,Gengar#0960,Death,Vandal,6
-4246,-570,Trashies#6767,Death,Vandal,6
-3720,-1423,n0thing#01 10,Death,Vandal,6
-5821,-3319,Noctis#7705,Death,Headhunter,6
-2983,1313,n0thing#01 10,Death,Vandal,7
1120,-811,Noctis#7705,Death,Phantom,7
-3561,498,Gengar#0960,Death,Phantom,7
2446,2015,Trashies#6767,Death,Vandal,7
-5117,-294,Luggi#IGL,Death,Vandal,7
1588,-287,Noctis#7705,Death,Vandal,8
879,-42,n0thing#01 10,Death,Vandal,8
4609,-1024,Gengar#0960,Death,Vandal,8
-4114,-267,Trashies#6767,Death,Phantom,8
-2953,-3278,Luggi#IGL,Death,Phantom,8
-4675,19,n0thing#01 10,Death,Vandal,9
-5230,-2264,Gengar#0960,Death,Vandal,9
-4791,-1505,Noctis#7705,Death,Phantom,9
-4428,-942,Trashies#6767,Death,Phantom,9
-4205,-219,Luggi#IGL,Death,Phantom,9
3400,-1239,Luggi#IGL,Death,Phantom,10
3628,-587,Noctis#7705,Death,Phantom,10
5343,-3258,Gengar#0960,Death,Odin,10
2816,-1219,n0thing#01 10,Death,Odin,10
3008,-1133,Trashies#6767,Death,Odin,10
-4640,-657,Noctis#7705,Death,Operator,11
-2941,260,n0thing#01 10,Death,Vandal,11
-4814,-2158,Trashies#6767,Death,Vandal,11
-5287,-2236,Luggi#IGL,Death,Vandal,11
-4612,-1550,Gengar#0960,Death,Vandal,11
1598,-1329,Luggi#IGL,Death,Odin,12
3427,2385,Gengar#0960,Death,Odin,12
1433,-322,Noctis#7705,Death,Tour De Force,12
3872,1235,n0thing#01 10,Death,Operator,12
5041,921,Trashies#6767,Death,Operator,12
1407,-793,Luggi#IGL,Death,Classic,13
331,802,Trashies#6767,Death,Sheriff,13
4750,688,Noctis#7705,Death,Ghost,13
4717,601,Gengar#0960,Death,Ghost,13
3664,-3553,n0thing#01 10,Death,Ghost,13
3396,-773,Noctis#7705,Death,Spectre,14
4217,-3017,n0thing#01 10,Death,Spectre,14
1240,-388,Luggi#IGL,Death,Spectre,14
2982,-4472,Trashies#6767,Death,Spectre,14
5199,-458,Gengar#0960,Death,Guardian,14
