X,Y,Player,Type,Weapon,Round
-3682,-2631,Umbra#0202,Death,Ghost,1
-5322,-2410,n0thing#01 10,Death,Frenzy,1
4175,565,Noctis#7705,Death,Classic,2
5957,-2834,Luggi#IGL,Death,Phantom,3
1473,-391,Umbra#0202,Death,Vandal,3
4928,671,n0thing#01 10,Death,Vandal,3
3170,-689,Trashies#6767,Death,Vandal,3
-2975,1957,Trashies#6767,Death,Vandal,5
-3701,-1220,Umbra#0202,Death,Vandal,5
-3200,-2696,Noctis#7705,Death,Vandal,5
-3690,-340,n0thing#01 10,Death,Vandal,5
-4513,47,n0thing#01 10,Death,Sheriff,6
-4501,302,Noctis#7705,Death,Sheriff,6
200,2422,Umbra#0202,Death,Sheriff,6
3603,-3534,Luggi#IGL,Death,Phantom,6
3486,-4024,Trashies#6767,Death,Phantom,6
4016,-634,Noctis#7705,Death,Vandal,7
-4041,-2693,Umbra#0202,Death,Phantom,7
-4332,-2752,n0thing#01 10,Death,Phantom,7
-4984,-1279,Trashies#6767,Death,Phantom,7
-4332,-1557,Luggi#IGL,Death,Phantom,7
4273,-1561,Umbra#0202,Death,Phantom,8
4414,-1999,Luggi#IGL,Death,Phantom,8
5626,-2298,Noctis#7705,Death,Phantom,8
1341,203,n0thing#01 10,Death,Phantom,8
3059,-2070,Trashies#6767,Death,Phantom,8
3525,-2147,Luggi#IGL,Death,Vandal,9
4876,-2101,Umbra#0202,Death,Vandal,9
-3551,1241,n0thing#01 10,Death,Phantom,9
1262,2068,Noctis#7705,Death,Phantom,9
4666,-612,Trashies#6767,Death,Phantom,9
-4216,-26,Umbra#0202,Death,Vandal,10
-2705,-860,Noctis#7705,Death,Phantom,10
-4669,431,Trashies#6767,Death,Phantom,10
1597,1721,n0thing#01 10,Death,Vandal,11
1941,2232,Umbra#0202,Death,Vandal,11
491,-39,Trashies#6767,Death,Phantom,11
3101,-1450,Noctis#7705,Death,Vandal,12
5286,-880,Umbra#0202,Death,Vandal,12
-3774,-2690,Luggi#IGL,Death,Classic,13
-3720,-1028,Trashies#6767,Death,Classic,13
-1856,-1596,n0thing#01 10,Death,Ghost,13
4555,560,Umbra#0202,Death,Ghost,13
-3540,-78,Noctis#7705,Death,Ghost,13
4087,635,Luggi#IGL,Death,Spectre,14
4190,233,n0thing#01 10,Death,Spectre,14
4088,-362,Umbra#0202,Death,Outlaw,14
4249,77,Noctis#7705,Death,Spectre,14
4551,1301,Trashies#6767,Death,Ghost,14
55,-180,Noctis#7705,Death,Spectre,15
-950,-1642,n0thing#01 10,Death,Spectre,15
137,-3151,Luggi#IGL,Death,Outlaw,15
-4144,298,Trashies#6767,Death,Outlaw,15
246,513,Umbra#0202,Death,Outlaw,15
24,1511,Noctis#7705,Death,Vandal,16
-532,613,Luggi#IGL,Death,Vandal,16
-564,-573,Umbra#0202,Death,Vandal,16
475,1008,n0thing#01 10,Death,Outlaw,16
-287,2694,Trashies#6767,Death,Outlaw,16
4781,-1507,Umbra#0202,Death,Vandal,17
3364,-3453,Luggi#IGL,Death,Vandal,17
-2575,2202,n0thing#01 10,Death,Outlaw,17
4366,-1942,Noctis#7705,Death,Vandal,17
4728,-2295,Trashies#6767,Death,Vandal,17
3147,-5012,n0thing#01 10,Death,Phantom,18
-3413,-1063,Umbra#0202,Death,Vandal,18
-195,-2850,Luggi#IGL,Death,Vandal,18
3771,-3575,Noctis#7705,Death,Vandal,18
4023,-4534,Trashies#6767,Death,Vandal,18
-5284,-3315,Umbra#0202,Death,Vandal,19
-5137,-3733,Trashies#6767,Death,Vandal,19
-5131,-3593,Noctis#7705,Death,Vandal,19
-1957,-1973,Luggi#IGL,Death,Vandal,19
-4042,-4633,n0thing#01 10,Death,Vandal,19
3625,-2224,Luggi#IGL,Death,Bomb,20
3855,-1558,Noctis#7705,Death,Vandal,20
4036,-2357,Trashies#6767,Death,Vandal,20
-167,-308,Umbra#0202,Death,Phantom,20
118,-5415,n0thing#01 10,Death,Phantom,20
3590,1540,Noctis#7705,Death,Vandal,21
1501,-980,Umbra#0202,Death,Vandal,21
-3262,-48,Trashies#6767,Death,Vandal,21
-3497,-117,n0thing#01 10,Death,Vandal,21
-54,-444,Luggi#IGL,Death,Vandal,21
