X,Y,Player,Type,Weapon,Round
-4261,442,Noctis#7705,Death,Sheriff,1
-2378,-5024,Trashies#6767,Death,Ghost,1
-1834,-4897,n0thing#01 10,Death,Ghost,1
-2398,-1686,Trashies#6767,Death,Bucky,2
-4176,-4186,Luggi#IGL,Death,Stinger,2
-2671,-1854,Noctis#7705,Death,Bucky,2
-1558,-1908,n0thing#01 10,Death,Bucky,2
-4130,-2158,Gengar#0960,Death,Judge,3
-3451,-2299,Luggi#IGL,Death,Judge,3
-5252,-2533,Trashies#6767,Death,Sheriff,3
-3527,-3247,Noctis#7705,Death,Sheriff,3
-2634,-1113,n0thing#01 10,Death,Judge,3
-5731,-2316,Trashies#6767,Death,Blade Storm,4
-751,-1941,Luggi#IGL,Death,Blade Storm,4
-3809,-892,Gengar#0960,Death,Judge,4
-3473,-2693,Noctis#7705,Death,Judge,4
-3074,-2594,n0thing#01 10,Death,Judge,4
-5566,-2109,n0thing#01 10,Death,Judge,5
-2509,-1496,Noctis#7705,Death,Showstopper,5
40,-1552,Gengar#0960,Death,Judge,5
-4124,-3279,Luggi#IGL,Death,Judge,5
-1222,-4919,Trashies#6767,Death,Judge,5
-4461,-992,n0thing#01 10,Death,Judge,6
-945,-1798,Luggi#IGL,Death,Judge,6
-2974,1765,Gengar#0960,Death,Odin,6
-5218,-2355,Trashies#6767,Death,Judge,6
-3651,-1233,Trashies#6767,Death,Judge,7
-1088,-2125,n0thing#01 10,Death,Vandal,7
-1753,-2124,Gengar#0960,Death,Vandal,8
-2536,-1668,Trashies#6767,Death,Judge,8
-70,-3157,n0thing#01 10,Death,Vandal,9
-1420,-5055,Trashies#6767,Death,Vandal,9
-5038,-2248,Luggi#IGL,Death,Vandal,9
-3974,-1271,Noctis#7705,Death,Vandal,9
1941,-1450,Gengar#0960,Death,Judge,9
834,-142,Noctis#7705,Death,Vandal,10
618,-5012,n0thing#01 10,Death,Vandal,10
-2876,-3054,Trashies#6767,Death,Showstopper,11
-2544,-1814,Noctis#7705,Death,Bucky,11
-2543,-1439,n0thing#01 10,Death,Judge,12
-3249,-2757,Gengar#0960,Death,Ghost,13
-4154,-1402,Noctis#7705,Death,Sheriff,13
-3195,-1070,Luggi#IGL,Death,Sheriff,13
-3312,-3039,Trashies#6767,Death,Sheriff,13
-5875,-2658,n0thing#01 10,Death,Ghost,13
506,575,n0thing#01 10,Death,Spectre,14
593,176,Luggi#IGL,Death,Spectre,14
76,567,Noctis#7705,Death,Spectre,14
335,1395,Gengar#0960,Death,Outlaw,14
391,1744,Trashies#6767,Death,Outlaw,14
5580,-511,Noctis#7705,Death,Judge,15
3910,1052,Noctis#7705,Death,Operator,16
-3151,-2000,Trashies#6767,Death,Operator,16
-2751,325,n0thing#01 10,Death,Ares,16
-2462,462,Gengar#0960,Death,Judge,16
-1946,2781,Luggi#IGL,Death,Vandal,16
3697,1533,Trashies#6767,Death,Vandal,17
455,1808,Luggi#IGL,Death,Vandal,17
657,1864,Noctis#7705,Death,Vandal,17
178,2870,Gengar#0960,Death,Vandal,17
-1893,2828,n0thing#01 10,Death,Vandal,17
4086,-1719,Trashies#6767,Death,Shorty,18
3770,-1350,Luggi#IGL,Death,Vandal,18
2476,-863,Gengar#0960,Death,Judge,18
-4654,-1726,Noctis#7705,Death,Vandal,19
-4534,-558,n0thing#01 10,Death,Vandal,19
351,1778,Trashies#6767,Death,Odin,19
37,2838,Luggi#IGL,Death,Vandal,19
-185,1985,Gengar#0960,Death,Vandal,19
1134,-1035,n0thing#01 10,Death,Vandal,20
2628,-1344,Noctis#7705,Death,Vandal,20
2903,1469,Luggi#IGL,Death,Odin,20
2841,1560,Trashies#6767,Death,Odin,20
-2685,1670,Gengar#0960,Death,Blade Storm,20
