X,Y,Player,Type,Weapon,Round
-5150,-668,Gengar#0960,Death,Sheriff,1
-2238,-1037,Trashies#6767,Death,Ghost,1
-3898,-1491,Noctis#7705,Death,Ghost,1
-632,1268,Trashies#6767,Death,Classic,2
-5139,-680,Gengar#0960,Death,Vandal,3
-4226,-670,n0thing#01 10,Death,Vandal,3
-5213,1664,Trashies#6767,Death,Vandal,3
-4696,-208,Noctis#7705,Death,Vandal,3
445,1566,Gengar#0960,Death,Sheriff,4
-893,1683,Noctis#7705,Death,Sheriff,4
4848,793,n0thing#01 10,Death,Vandal,6
3718,-1003,Gengar#0960,Death,Vandal,6
-1404,-3926,Noctis#7705,Death,Vandal,8
-4861,-287,Gengar#0960,Death,Vandal,9
-4552,-3,Noctis#7705,Death,Vandal,9
-4837,2252,n0thing#01 10,Death,Phantom,9
-2982,-462,Trashies#6767,Death,Annihilation,9
49,2070,Trashies#6767,Death,Vandal,10
3149,2281,n0thing#01 10,Death,Operator,10
3115,2302,Gengar#0960,Death,Operator,10
3641,-974,Noctis#7705,Death,Vandal,10
-5712,-1183,Noctis#7705,Death,Phantom,11
-5233,-103,n0thing#01 10,Death,Operator,12
-4547,-2085,Gengar#0960,Death,Operator,12
-4217,-404,Trashies#6767,Death,Vandal,12
-5774,-366,Noctis#7705,Death,Vandal,12
3827,357,n0thing#01 10,Death,Sheriff,13
4647,-1956,Noctis#7705,Death,Sheriff,13
4757,-1299,Trashies#6767,Death,Sheriff,13
1350,-1894,Gengar#0960,Death,Sheriff,14
-3179,3012,Trashies#6767,Death,Classic,14
28,-2957,Gengar#0960,Death,Vandal,15
3343,-431,n0thing#01 10,Death,Vandal,15
5924,254,Noctis#7705,Death,Outlaw,15
-2533,-2001,Trashies#6767,Death,Blade Storm,16
-4572,-2248,Gengar#0960,Death,Vandal,16
-5694,1367,Noctis#7705,Death,Sheriff,16
807,57,n0thing#01 10,Death,Phantom,16
-5768,-441,Trashies#6767,Death,Vandal,17
-3511,-2342,Gengar#0960,Death,Vandal,17
-2250,-685,n0thing#01 10,Death,Vandal,17
-3926,-470,Noctis#7705,Death,Vandal,17
508,1349,n0thing#01 10,Death,Vandal,18
-1548,1124,Trashies#6767,Death,Vandal,18
-243,-2365,Gengar#0960,Death,Operator,18
4809,-2691,Noctis#7705,Death,Phantom,18
-2117,-1945,Noctis#7705,Death,Vandal,19
-2280,1400,n0thing#01 10,Death,Vandal,19
-2276,-1400,Gengar#0960,Death,Vandal,19
-349,-1480,Trashies#6767,Death,Phantom,19
4755,-3308,Gengar#0960,Death,Vandal,20
5108,-1794,Trashies#6767,Death,Vandal,20
4518,-1591,n0thing#01 10,Death,Vandal,20
4312,-1242,Noctis#7705,Death,Classic,20
-5144,1988,Noctis#7705,Death,Vandal,21
1157,-2221,Gengar#0960,Death,Vandal,21
-1541,-3433,Trashies#6767,Death,Phantom,21
-2295,-2711,n0thing#01 10,Death,Phantom,21
-2184,-639,Gengar#0960,Death,Phantom,22
-5872,1062,n0thing#01 10,Death,Phantom,22
41,1792,Trashies#6767,Death,Vandal,23
779,1371,Noctis#7705,Death,Vandal,23
-57,2217,Gengar#0960,Death,Vandal,23
1748,2495,n0thing#01 10,Death,Vandal,23
-3528,-987,Trashies#6767,Death,Vandal,24
-3303,-1035,Noctis#7705,Death,Vandal,24
-3634,-2541,Gengar#0960,Death,Vandal,24
-3392,-2811,n0thing#01 10,Death,Vandal,24
